Date,Open,High,Low,Close,Adj Close,Volume
2006-04-03,31.510000,31.510000,31.510000,31.510000,24.866600,0
2006-04-04,31.690001,31.690001,31.690001,31.690001,25.008656,0
2006-04-05,31.840000,31.840000,31.840000,31.840000,25.127028,0
2006-04-06,31.790001,31.790001,31.790001,31.790001,25.087566,0
2006-04-07,31.469999,31.469999,31.469999,31.469999,24.835039,0
2006-04-10,31.469999,31.469999,31.469999,31.469999,24.835039,0
2006-04-11,31.209999,31.209999,31.209999,31.209999,24.629852,0
2006-04-12,31.260000,31.260000,31.260000,31.260000,24.669308,0
2006-04-13,31.299999,31.299999,31.299999,31.299999,24.700884,0
2006-04-17,31.219999,31.219999,31.219999,31.219999,24.637747,0
2006-04-18,31.780001,31.780001,31.780001,31.780001,25.079679,0
2006-04-19,31.889999,31.889999,31.889999,31.889999,25.166485,0
2006-04-20,31.910000,31.910000,31.910000,31.910000,25.182270,0
2006-04-21,31.889999,31.889999,31.889999,31.889999,25.166485,0
2006-04-24,31.799999,31.799999,31.799999,31.799999,25.095465,0
2006-04-25,31.660000,31.660000,31.660000,31.660000,24.984983,0
2006-04-26,31.719999,31.719999,31.719999,31.719999,25.032326,0
2006-04-27,31.799999,31.799999,31.799999,31.799999,25.095465,0
2006-04-28,31.840000,31.840000,31.840000,31.840000,25.127028,0
2006-05-01,31.719999,31.719999,31.719999,31.719999,25.032326,0
2006-05-02,31.900000,31.900000,31.900000,31.900000,25.174383,0
2006-05-03,31.799999,31.799999,31.799999,31.799999,25.095465,0
2006-05-04,31.930000,31.930000,31.930000,31.930000,25.198053,0
2006-05-05,32.259998,32.259998,32.259998,32.259998,25.458467,0
2006-05-08,32.250000,32.250000,32.250000,32.250000,25.450584,0
2006-05-09,32.250000,32.250000,32.250000,32.250000,25.450584,0
2006-05-10,32.200001,32.200001,32.200001,32.200001,25.411123,0
2006-05-11,31.770000,31.770000,31.770000,31.770000,25.071783,0
2006-05-12,31.370001,31.370001,31.370001,31.370001,24.756117,0
2006-05-15,31.389999,31.389999,31.389999,31.389999,24.771900,0
2006-05-16,31.340000,31.340000,31.340000,31.340000,24.732443,0
2006-05-17,30.820000,30.820000,30.820000,30.820000,24.322077,0
2006-05-18,30.600000,30.600000,30.600000,30.600000,24.148466,0
2006-05-19,30.719999,30.719999,30.719999,30.719999,24.243158,0
2006-05-22,30.570000,30.570000,30.570000,30.570000,24.124784,0
2006-05-23,30.430000,30.430000,30.430000,30.430000,24.014303,0
2006-05-24,30.450001,30.450001,30.450001,30.450001,24.030081,0
2006-05-25,30.840000,30.840000,30.840000,30.840000,24.337856,0
2006-05-26,31.020000,31.020000,31.020000,31.020000,24.479904,0
2006-05-30,30.520000,30.520000,30.520000,30.520000,24.085331,0
2006-05-31,30.809999,30.809999,30.809999,30.809999,24.314186,0
2006-06-01,31.219999,31.219999,31.219999,31.219999,24.637747,0
2006-06-02,31.290001,31.290001,31.290001,31.290001,24.692987,0
2006-06-05,30.690001,30.690001,30.690001,30.690001,24.219490,0
2006-06-06,30.620001,30.620001,30.620001,30.620001,24.164244,0
2006-06-07,30.430000,30.430000,30.430000,30.430000,24.014303,0
2006-06-08,30.450001,30.450001,30.450001,30.450001,24.030081,0
2006-06-09,30.320000,30.320000,30.320000,30.320000,23.927494,0
2006-06-12,29.870001,29.870001,29.870001,29.870001,23.572372,0
2006-06-13,29.530001,29.530001,29.530001,29.530001,23.304056,0
2006-06-14,29.680000,29.680000,29.680000,29.680000,23.422430,0
2006-06-15,30.379999,30.379999,30.379999,30.379999,23.974846,0
2006-06-16,30.260000,30.260000,30.260000,30.260000,23.880146,0
2006-06-19,29.950001,29.950001,29.950001,29.950001,23.635506,0
2006-06-20,29.920000,29.920000,29.920000,29.920000,23.611826,0
2006-06-21,30.260000,30.260000,30.260000,30.260000,23.880146,0
2006-06-22,30.120001,30.120001,30.120001,30.120001,23.769667,0
2006-06-23,30.020000,30.020000,30.020000,30.020000,23.785511,0
2006-06-26,30.180000,30.180000,30.180000,30.180000,23.912281,0
2006-06-27,29.889999,29.889999,29.889999,29.889999,23.682505,0
2006-06-28,30.040001,30.040001,30.040001,30.040001,23.801352,0
2006-06-29,30.740000,30.740000,30.740000,30.740000,24.355972,0
2006-06-30,30.740000,30.740000,30.740000,30.740000,24.355972,0
2006-07-03,30.980000,30.980000,30.980000,30.980000,24.546133,0
2006-07-05,30.719999,30.719999,30.719999,30.719999,24.340130,0
2006-07-06,30.799999,30.799999,30.799999,30.799999,24.403515,0
2006-07-07,30.559999,30.559999,30.559999,30.559999,24.213358,0
2006-07-10,30.590000,30.590000,30.590000,30.590000,24.237137,0
2006-07-11,30.719999,30.719999,30.719999,30.719999,24.340130,0
2006-07-12,30.370001,30.370001,30.370001,30.370001,24.062820,0
2006-07-13,29.950001,29.950001,29.950001,29.950001,23.730042,0
2006-07-14,29.780001,29.780001,29.780001,29.780001,23.595350,0
2006-07-17,29.709999,29.709999,29.709999,29.709999,23.539886,0
2006-07-18,29.770000,29.770000,29.770000,29.770000,23.587431,0
2006-07-19,30.360001,30.360001,30.360001,30.360001,24.054893,0
2006-07-20,30.020000,30.020000,30.020000,30.020000,23.785511,0
2006-07-21,29.760000,29.760000,29.760000,29.760000,23.579504,0
2006-07-24,30.290001,30.290001,30.290001,30.290001,23.999434,0
2006-07-25,30.510000,30.510000,30.510000,30.510000,24.173742,0
2006-07-26,30.500000,30.500000,30.500000,30.500000,24.165817,0
2006-07-27,30.330000,30.330000,30.330000,30.330000,24.031132,0
2006-07-28,30.719999,30.719999,30.719999,30.719999,24.340130,0
2006-07-31,30.700001,30.700001,30.700001,30.700001,24.324286,0
2006-08-01,30.530001,30.530001,30.530001,30.530001,24.189596,0
2006-08-02,30.730000,30.730000,30.730000,30.730000,24.348057,0
2006-08-03,30.809999,30.809999,30.809999,30.809999,24.411446,0
2006-08-04,30.770000,30.770000,30.770000,30.770000,24.379753,0
2006-08-07,30.670000,30.670000,30.670000,30.670000,24.300522,0
2006-08-08,30.530001,30.530001,30.530001,30.530001,24.189596,0
2006-08-09,30.379999,30.379999,30.379999,30.379999,24.070742,0
2006-08-10,30.530001,30.530001,30.530001,30.530001,24.189596,0
2006-08-11,30.379999,30.379999,30.379999,30.379999,24.070742,0
2006-08-14,30.420000,30.420000,30.420000,30.420000,24.102436,0
2006-08-15,30.879999,30.879999,30.879999,30.879999,24.466902,0
2006-08-16,31.160000,31.160000,31.160000,31.160000,24.688757,0
2006-08-17,31.209999,31.209999,31.209999,31.209999,24.728374,0
2006-08-18,31.309999,31.309999,31.309999,31.309999,24.807604,0
2006-08-21,31.180000,31.180000,31.180000,31.180000,24.704599,0
2006-08-22,31.219999,31.219999,31.219999,31.219999,24.736296,0
2006-08-23,31.040001,31.040001,31.040001,31.040001,24.593676,0
2006-08-24,31.100000,31.100000,31.100000,31.100000,24.641216,0
2006-08-25,31.090000,31.090000,31.090000,31.090000,24.633297,0
2006-08-28,31.260000,31.260000,31.260000,31.260000,24.767984,0
2006-08-29,31.360001,31.360001,31.360001,31.360001,24.847219,0
2006-08-30,31.400000,31.400000,31.400000,31.400000,24.878908,0
2006-08-31,31.410000,31.410000,31.410000,31.410000,24.886833,0
2006-09-01,31.570000,31.570000,31.570000,31.570000,25.013609,0
2006-09-05,31.650000,31.650000,31.650000,31.650000,25.076996,0
2006-09-06,31.290001,31.290001,31.290001,31.290001,24.791761,0
2006-09-07,31.139999,31.139999,31.139999,31.139999,24.672907,0
2006-09-08,31.240000,31.240000,31.240000,31.240000,24.752138,0
